61,Tamiya,Tamiya 81350 XF50,XF50,364145,Field Blue,Acrylic,Matt
62,Tamiya,Tamiya 81351 XF51,XF51,29320D,Khaki Drab,Acrylic,Matt
63,Tamiya,Tamiya 81352 XF52,XF52,734835,Flat Earth,Acrylic,Matt
64,Tamiya,Tamiya 81353 XF53,XF53,6D787C,Neutral Grey,Acrylic,Matt
65,Tamiya,Tamiya 81354 XF54,XF54,5C5D61,Dark Sea Grey,Acrylic,Matt
66,Tamiya,Tamiya 81355 XF55,XF55,B6B187,Deck Tan,Acrylic,Matt
67,Tamiya,Tamiya 81356 XF56,XF56,5C6164,Metallic Grey,Acrylic,Matt
68,Tamiya,Tamiya 81357 XF57,XF57,B7B36A,Buff,Acrylic,Matt
69,Tamiya,Tamiya 81358 XF58,XF58,1B3B14,Olive Green,Acrylic,Matt
70,Tamiya,Tamiya 81359 XF59,XF59,D89D43,Desert Yellow,Acrylic,Matt
71,Tamiya,Tamiya 81360 XF60,XF60,C6B141,Dark Yellow,Acrylic,Matt
72,Tamiya,Tamiya 81361 XF61,XF61,1A2C0F,Dark Green,Acrylic,Matt
73,Tamiya,Tamiya 81362 XF62,XF62,404A13,Olive Drab,Acrylic,Matt
74,Tamiya,Tamiya 81363 XF63,XF63,3E484A,German Grey,Acrylic,Matt
75,Tamiya,Tamiya 81364 XF64,XF64,66370B,Red Brown,Acrylic,Matt
76,Tamiya,Tamiya 81365 XF65,XF65,68856B,Field Green,Acrylic,Matt
77,Tamiya,Tamiya 81366 XF66,XF66,677679,Light Grey,Acrylic,Matt
78,Tamiya,Tamiya 81367 XF67,XF67,326019,Nato Green,Acrylic,Matt
79,Tamiya,Tamiya 81368 XF68,XF68,732F07,Nato Brown,Acrylic,Matt
80,Tamiya,Tamiya 81369 XF69,XF69,222423,Nato Black,Acrylic,Matt
81,Tamiya,Tamiya 81370 XF70,XF70,00250E,Dark Green,Acrylic,Matt
82,Tamiya,Tamiya 81371 XF71,XF71,74925E,Cockpit Green,Acrylic,Matt
83,Tamiya,Tamiya 80001 X1,X1,000000,Black,Enamel,Gloss
84,Tamiya,Tamiya 80002 X2,X2,FFFFFF,White,Enamel,Gloss
85,Tamiya,Tamiya 80003 X3,X3,1E2D54,Royal Blue,Enamel,Gloss
86,Tamiya,Tamiya 80004 X4,X4,09337B,Blue,Enamel,Gloss
87,Tamiya,Tamiya 80005 X5,X5,00441B,Green,Enamel,Gloss
88,Tamiya,Tamiya 80006 X6,X6,FF7F00,Orange,Enamel,Gloss
89,Tamiya,Tamiya 80007 X7,X7,FD0000,Red,Enamel,Gloss
90,Tamiya,Tamiya 80008 X8,X8,FDE601,Lemon Yellow,Enamel,Gloss
91,Tamiya,Tamiya 80009 X9,X9,4E2207,Brown,Enamel,Gloss
92,Tamiya,Tamiya 80010 X10,X10,505558,Gun Metal,Enamel,Gloss
93,Tamiya,Tamiya 80011 X11,X11,C2C7C8,Chrome Silver,Enamel,Gloss
94,Tamiya,Tamiya 80012 X12,X12,CDA108,Gold Leaf,Enamel,Gloss
95,Tamiya,Tamiya 80013 X13,X13,1E7497,Metallic blue,Enamel,Gloss
96,Tamiya,Tamiya 80014 X14,X14,1E99C3,Sky Blue,Enamel,Gloss
97,Tamiya,Tamiya 80015 X15,X15,65B820,Light Green,Enamel,Gloss
98,Tamiya,Tamiya 80016 X16,X16,464A9F,Purple,Enamel,Gloss
99,Tamiya,Tamiya 80017 X17,X17,F881AB,Pink,Enamel,Gloss
100,Tamiya,Tamiya 80018 X18,X18,333333,Semi Gloss Black,Enamel,Gloss
101,Tamiya,Tamiya 80019 X19,X19,8F918B,Smoke,Enamel,Gloss
102,Tamiya,Tamiya 80021 X21,X21,FFFFFF,Flat Base,Enamel,Gloss
103,Tamiya,Tamiya 80022 X22,X22,FFFFFF,Clear,Enamel,Gloss
104,Tamiya,Tamiya 80023 X23,X23,33B3D0,Clear blue,Enamel,Gloss
105,Tamiya,Tamiya 80024 X24,X24,FEE600,Clear Yellow,Enamel,Gloss
106,Tamiya,Tamiya 80025 X25,X25,199640,Clear Green,Enamel,Gloss
107,Tamiya,Tamiya 80026 X26,X26,FE8B14,Clear Orange,Enamel,Gloss
108,Tamiya,Tamiya 80027 X27,X27,FA0026,Clear Red,Enamel,Gloss
109,Tamiya,Tamiya 80028 X28,X28,33A34D,Park Green,Enamel,Gloss
110,Tamiya,Tamiya 80031 X31,X31,CBBA72,Titanium Gold,Enamel,Gloss
111,Tamiya,Tamiya 80032 X32,X32,CDCCB8,Titanium Silver,Enamel,Gloss
112,Tamiya,Tamiya 80033 X33,X33,672622,Bronze,Enamel,Gloss
113,Tamiya,Tamiya 80034 X34,X34,993E05,Metallic brown,Enamel,Gloss
114,Tamiya,Tamiya 80301 XF1,XF1,333333,Flat Black,Enamel,Matt
115,Tamiya,Tamiya 80302 XF2,XF2,FFFFFF,Flat White,Enamel,Matt
116,Tamiya,Tamiya 80303 XF3,XF3,FFCC00,Flat Yellow,Enamel,Matt
117,Tamiya,Tamiya 80304 XF4,XF4,B2C60F,Yellow Green,Enamel,Matt
118,Tamiya,Tamiya 80305 XF5,XF5,224311,Flat Green,Enamel,Matt
119,Tamiya,Tamiya 80306 XF6,XF6,CB5C03,Copper,Enamel,Matt
120,Tamiya,Tamiya 80307 XF7,XF7,FD0000,Flat Red,Enamel,Matt
121,Tamiya,Tamiya 80308 XF8,XF8,284C7C,Flat Blue,Enamel,Matt
122,Tamiya,Tamiya 80309 XF9,XF9,3E0E02,Hull Red,Enamel,Matt
123,Tamiya,Tamiya 80310 XF10,XF10,3E2A09,Flat Brown,Enamel,Matt
124,Tamiya,Tamiya 80311 XF11,XF11,26300B,J.N. Green,Enamel,Matt
125,Tamiya,Tamiya 80312 XF12,XF12,B3CCAF,J.N. Grey,Enamel,Matt
126,Tamiya,Tamiya 80313 XF13,XF13,334A1E,J.A. Green,Enamel,Matt
127,Tamiya,Tamiya 80314 XF14,XF14,B2CA8E,J.A. Grey,Enamel,Matt
128,Tamiya,Tamiya 80315 XF15,XF15,FDCCA1,Flat Flesh,Enamel,Matt
129,Tamiya,Tamiya 80316 XF16,XF16,CCCCCC,Flat Aluminium,Enamel,Matt
130,Tamiya,Tamiya 80317 XF17,XF17,2E3B43,Sea Blue,Enamel,Matt
131,Tamiya,Tamiya 80318 XF18,XF18,485B5F,Medium Blue,Enamel,Matt
132,Tamiya,Tamiya 80319 XF19,XF19,ADB7C0,Sky Grey,Enamel,Matt
133,Tamiya,Tamiya 80320 XF20,XF20,A3AB96,Medium Grey,Enamel,Matt
134,Tamiya,Tamiya 80321 XF21,XF21,B8BE78,Sky,Enamel,Matt
135,Tamiya,Tamiya 80322 XF22,XF22,7B8D7D,RLM Grey,Enamel,Matt
136,Tamiya,Tamiya 80323 XF23,XF23,90B5AD,Light Blue,Enamel,Matt
137,Tamiya,Tamiya 80324 XF24,XF24,3F4448,Dark Grey,Enamel,Matt
138,Tamiya,Tamiya 80325 XF25,XF25,7A8BA9,Light Sea Grey,Enamel,Matt
139,Tamiya,Tamiya 80326 XF26,XF26,2E1F08,Deep Green,Enamel,Matt
140,Tamiya,Tamiya 80327 XF27,XF27,00260F,Black Green,Enamel,Matt
141,Tamiya,Tamiya 80328 XF28,XF28,985F39,Dark Copper,Enamel,Matt
142,Tamiya,Tamiya 80349 XF49,XF49,7E773D,Khaki,Enamel,Matt
143,Tamiya,Tamiya 80350 XF50,XF50,364145,Field Blue,Enamel,Matt
144,Tamiya,Tamiya 80351 XF51,XF51,29320D,Khaki Drab,Enamel,Matt
145,Tamiya,Tamiya 80352 XF52,XF52,734835,Flat Earth,Enamel,Matt
146,Tamiya,Tamiya 80353 XF53,XF53,6D787C,Neutral Grey,Enamel,Matt
147,Tamiya,Tamiya 80354 XF54,XF54,5C5D61,Dark Sea Grey,Enamel,Matt
148,Tamiya,Tamiya 80355 XF55,XF55,B6B187,Deck Tan,Enamel,Matt
149,Tamiya,Tamiya 80356 XF56,XF56,5C6164,Metallic Grey,Enamel,Matt
150,Tamiya,Tamiya 80357 XF57,XF57,B7B36A,Buff,Enamel,Matt
151,Tamiya,Tamiya 80358 XF58,XF58,1B3B14,Olive Green,Enamel,Matt
152,Tamiya,Tamiya 80359 XF59,XF59,D89D43,Desert Yellow,Enamel,Matt
153,Tamiya,Tamiya 80360 XF60,XF60,C6B141,Dark Yellow,Enamel,Matt
154,Tamiya,Tamiya 80361 XF61,XF61,1A2C0F,Dark Green,Enamel,Matt
155,Tamiya,Tamiya 80362 XF62,XF62,404A13,Olive Drab,Enamel,Matt
156,Tamiya,Tamiya 80363 XF63,XF63,3E484A,German Grey,Enamel,Matt
157,Tamiya,Tamiya 80364 XF64,XF64,66370B,Red Brown,Enamel,Matt
158,Tamiya,Tamiya 80365 XF65,XF65,68856B,Field Green,Enamel,Matt
159,Tamiya,Tamiya 80366 XF66,XF66,677679,Light Grey,Enamel,Matt
160,Tamiya,Tamiya 80367 XF67,XF67,326019,Nato Green,Enamel,Matt
161,Tamiya,Tamiya 80368 XF68,XF68,732F07,Nato Brown,Enamel,Matt
162,Tamiya,Tamiya 80369 XF69,XF69,222423,Nato Black,Enamel,Matt
163,Tamiya,Tamiya 80370 XF70,XF70,00250E,Dark Green,Enamel,Matt
164,Tamiya,Tamiya 80371 XF71,XF71,74925E,Cockpit Green,Enamel,Matt
165,Tamiya,Tamiya 85301 MS-1,MS-1,E7A418,Bright Gold,Spray can,Gloss
166,Tamiya,Tamiya 85302 MS-2,MS-2,949494,Bright Silver,Spray can,Gloss
167,Tamiya,Tamiya 85303 MS-3,MS-3,ED1806,Bright Red,Spray can,Gloss
168,Tamiya,Tamiya 85304 MS-4,MS-4,3B5ACF,Mach Blue,Spray can,Gloss
169,Tamiya,Tamiya 85305 MS-5,MS-5,4C4C4C,Metallic Gray,Spray can,Gloss
170,Tamiya,Tamiya 85306 MS-6,MS-6,4429D0,Metallic Purple,Spray can,Gloss
171,Tamiya,Tamiya 85307 MS-7,MS-7,FFFFFF,Super White,Spray can,Gloss
172,Tamiya,Tamiya 85308 MS-8,MS-8,F43101,Fluorescent Red,Spray can,Gloss
173,Tamiya,Tamiya 85309 MS-9,MS-9,FE6321,Fluorescent Orange,Spray can,Gloss
174,Tamiya,Tamiya 85310 MS-10,MS-10,F8E618,Fluorescent Yellow,Spray can,Gloss
175,Tamiya,Tamiya 85311 MS-11,MS-11,79D82A,Fluorescent Green,Spray can,Gloss
176,Tamiya,Tamiya 85312 MS-12,MS-12,FF21F8,Fluorescent Pink,Spray can,Gloss
177,Tamiya,Tamiya 86501 AS1,AS1,103914,Dark Green,Spray can,Matt
178,Tamiya,Tamiya 86502 AS2,AS2,A3AB96,Light Gray,Spray can,Matt
179,Tamiya,Tamiya 86503 AS3,AS3,243A2E,Gray Green,Spray can,Matt
180,Tamiya,Tamiya 86504 AS4,AS4,415366,Gray Violet,Spray can,Matt
181,Tamiya,Tamiya 86505 AS5,AS5,98C2B4,Light Blue,Spray can,Matt
182,Tamiya,Tamiya 86506 AS6,AS6,404B13,Olive Drab,Spray can,Matt
183,Tamiya,Tamiya 86507 AS7,AS7,7D878B,Neutral Gray,Spray can,Matt
184,Tamiya,Tamiya 86508 AS8,AS8,27425D,Navy Blue,Spray can,Matt
185,Tamiya,Tamiya 86509 AS9,AS9,2D4813,Dark Green,Spray can,Matt
186,Tamiya,Tamiya 86510 AS10,AS10,52595F,Ocean Gray,Spray can,Matt
188,Tamiya,Tamiya 86511 AS11,AS11,8F9D86,Medium Sea Gray,Spray can,Matt
190,Tamiya,Tamiya 86512 AS12,AS12,C2C7CA,Bare-Metal Silver,Spray can,Matt
191,Tamiya,Tamiya 86512 AS12,AS12,C2C7CA,Bare-Metal Silver,Spray can,Matt
192,Tamiya,Tamiya 86513 AS13,AS13,163126,Green,Spray can,Matt
